Date,Product,Category,Quantity,SellingPrice,CostPrice,Region,Customer
2023-08-03,Bookshelf,Furniture,14,3539.16,2320.42,Central,Agarwal Mart
2023-08-03,LED Desk Lamp,Home,14,948.91,493.06,East,Gupta Enterprises
2023-08-04,Standing Desk,Furniture,17,11762.71,9175.98,North,Mehta Retail
2023-08-04,Air Fryer,Home,24,5103.27,3409.58,South,Sharma Traders
2023-08-05,Standing Desk,Furniture,25,13758.51,9613.6,West,Mehta Retail
2023-08-06,Notebook Set,Stationery,27,238.95,95.39,South,Agarwal Mart
2023-08-06,Notebook Set,Stationery,17,243.76,93.75,Central,Nair Commerce
2023-08-07,Running Shoes,Apparel,15,2354.46,1361.25,Central,Patel Mart
2023-08-08,LED Desk Lamp,Home,14,1042.81,496.42,West,Nair Retail Hub
2023-08-08,Notebook Set,Stationery,16,249.93,97.32,North,Mehta Retail
2023-08-08,Air Fryer,Home,15,5289.06,3542.42,Central,Bose Retailers
2023-08-09,Notebook Set,Stationery,17,246.76,93.49,West,Khanna Outlets
2023-08-10,Bluetooth Speaker,Electronics,22,2169.99,1335.48,South,Nair Commerce
2023-08-10,LED Desk Lamp,Home,14,961.92,503.21,North,Saxena Stores
2023-08-11,Standing Desk,Furniture,22,13721.69,9370.83,East,Bose Retailers
2023-08-11,Standing Desk,Furniture,11,13157.47,9620.75,South,Chopra Bazaar
2023-08-11,Air Fryer,Home,17,5570.19,3546.84,North,Sharma Traders
2023-08-12,Premium Pen,Stationery,22,705.22,290.92,Central,Bose Retailers
2023-08-12,Bluetooth Speaker,Electronics,22,2212.93,1353.92,Central,Patel Mart
2023-08-13,Premium Pen,Stationery,27,710.15,293.92,North,Kapoor Goods
2023-08-14,Running Shoes,Apparel,22,2407.38,1374.38,South,Iyer Supplies
2023-08-15,Water Bottle,Home,20,337.86,142.69,West,Nair Retail Hub
2023-08-15,Wireless Mouse,Electronics,14,757.61,506.64,North,Iyer Supplies
2023-08-16,LED Desk Lamp,Home,14,1051.79,492.99,South,Patel Mart
2023-08-17,Cookware Set,Home,20,3963.59,2355.04,South,Agarwal Mart
2023-08-17,Cookware Set,Home,13,4163.39,2400.4,West,Gupta Enterprises
2023-08-18,Office Chair,Furniture,27,6285.22,4321.89,North,Kapoor Goods
2023-08-19,Air Fryer,Home,24,5266.03,3442.81,East,Agarwal Mart
2023-08-20,Water Bottle,Home,21,344.64,142.41,West,Reddy Distributors
2023-08-20,Premium Pen,Stationery,8,732.28,295.84,North,Nair Retail Hub
2023-08-21,Standing Desk,Furniture,10,11764.54,9176.1,North,Khanna Outlets
2023-08-22,Notebook Set,Stationery,14,236.57,96.94,East,Mehta Retail
2023-08-22,Office Chair,Furniture,15,6713.84,4443.12,East,Nair Commerce
2023-08-23,Bluetooth Speaker,Electronics,126,2261.01,1316.63,East,Nair Commerce
2023-08-23,Denim Jacket,Apparel,14,1796.66,929.21,West,Patel Mart
2023-08-23,LED Desk Lamp,Home,8,1028.76,490.7,East,Saxena Stores
2023-08-24,Water Bottle,Home,13,369.81,142.1,South,Rao Merchandise
2023-08-25,Cotton T-Shirt,Apparel,35,487.82,227.72,North,Das & Sons
2023-08-25,Office Chair,Furniture,8,5963.36,4415.69,Central,Gupta Enterprises
2023-08-25,Bookshelf,Furniture,9,3586.17,2305.14,North,Das & Sons
2023-08-26,Standing Desk,Furniture,18,12248.61,9104.85,North,Patel Mart
2023-08-26,Bookshelf,Furniture,9,3564.7,2281.97,South,Nair Retail Hub
2023-08-26,Denim Jacket,Apparel,19,1786.93,941.95,North,Reddy Distributors
2023-08-27,Bluetooth Speaker,Electronics,25,2188.81,1303,North,Sharma Traders
2023-08-28,Running Shoes,Apparel,30,2629.93,1343.09,South,Reddy Distributors
2023-08-28,LED Desk Lamp,Home,7,996.06,498.96,Central,Rao Merchandise
2023-08-29,USB-C Hub,Electronics,11,1514.62,891.54,East,Malhotra Trading
2023-08-30,LED Desk Lamp,Home,14,1036.39,499.81,North,Mehta Retail
2023-08-30,Air Fryer,Home,24,5647.25,3402.19,South,Bose Retailers
2023-08-31,Notebook Set,Stationery,14,263.78,93.08,South,Sharma Traders
2023-08-31,Wireless Mouse,Electronics,16,756.35,499.73,West,Singh Sales
2023-09-01,USB-C Hub,Electronics,29,1560.15,855.35,North,Joshi Wholesale
2023-09-01,Air Fryer,Home,108,5433.62,3562.46,South,Patel Mart
2023-09-02,Water Bottle,Home,104,338.09,143.2,South,Sharma Traders
2023-09-02,Water Bottle,Home,14,332.99,137.47,South,Sharma Traders
2023-09-02,Bluetooth Speaker,Electronics,26,2170.03,1285.85,North,Mehta Retail
2023-09-03,Premium Pen,Stationery,34,665.02,289.31,East,Mehta Retail
2023-09-04,Bookshelf,Furniture,9,3333.27,2255.85,East,Reddy Distributors
2023-09-04,Office Chair,Furniture,15,6800.5,4377.5,East,Singh Sales
2023-09-04,Running Shoes,Apparel,18,2361.6,1375.21,West,Joshi Wholesale
2023-09-05,Notebook Set,Stationery,38,240.39,92.29,West,Iyer Supplies
2023-09-06,Water Bottle,Home,29,334.4,143.67,South,Nair Retail Hub
2023-09-07,Bluetooth Speaker,Electronics,10,2317.84,1294.38,East,Nair Retail Hub
2023-09-07,Standing Desk,Furniture,17,11082.6,9279.98,Central,Kapoor Goods
2023-09-08,Denim Jacket,Apparel,9,1791.74,944.46,East,Saxena Stores
2023-09-08,Cotton T-Shirt,Apparel,20,474.38,230.09,West,Bose Retailers
2023-09-09,USB-C Hub,Electronics,33,1443.21,890.64,South,Das & Sons
2023-09-09,Premium Pen,Stationery,17,696.17,301.09,South,Verma Stores
2023-09-09,USB-C Hub,Electronics,31,1588.92,885.34,South,Reddy Distributors
2023-09-10,Premium Pen,Stationery,18,697.91,301.02,North,Khanna Outlets
2023-09-11,Bluetooth Speaker,Electronics,30,2108.16,1324.3,Central,Sharma Traders
2023-09-11,Notebook Set,Stationery,10,240.77,93.12,Central,Das & Sons
2023-09-12,Bluetooth Speaker,Electronics,18,2226.26,1308.96,South,Kapoor Goods
2023-09-13,Bluetooth Speaker,Electronics,12,1904.36,1358.75,Central,Bose Retailers
2023-09-14,Running Shoes,Apparel,27,2619.19,1340.92,South,Das & Sons
2023-09-15,LED Desk Lamp,Home,31,943.32,502.58,East,Kapoor Goods
2023-09-15,Office Chair,Furniture,30,6811.28,4473.54,South,Das & Sons
2023-09-15,Premium Pen,Stationery,23,679.55,296.28,North,Rao Merchandise
2023-09-16,Bluetooth Speaker,Electronics,16,2172.73,1317.89,Central,Agarwal Mart
2023-09-16,USB-C Hub,Electronics,17,1566.29,882.97,East,Saxena Stores
2023-09-17,Bluetooth Speaker,Electronics,16,2261.03,1325.93,West,Patel Mart
2023-09-17,Water Bottle,Home,27,364,138.39,East,Chopra Bazaar
2023-09-17,Office Chair,Furniture,32,6577.33,4346.01,North,Nair Commerce
2023-09-18,LED Desk Lamp,Home,29,1035.46,512.76,East,Mehta Retail
2023-09-19,LED Desk Lamp,Home,16,963.94,497.9,West,Sharma Traders
2023-09-19,Air Fryer,Home,22,5675.17,3522.47,East,Agarwal Mart
2023-09-20,Office Chair,Furniture,31,6781.13,4474.43,West,Joshi Wholesale
2023-09-21,Running Shoes,Apparel,19,2496.26,1340.87,West,Singh Sales
2023-09-21,Running Shoes,Apparel,10,2375.01,1392.42,West,Gupta Enterprises
2023-09-21,Office Chair,Furniture,19,5778.47,4292.59,North,Iyer Supplies
2023-09-22,Office Chair,Furniture,10,6863.22,4502.27,East,Khanna Outlets
2023-09-23,Running Shoes,Apparel,12,2606.82,1355.59,East,Patel Mart
2023-09-23,Running Shoes,Apparel,12,2630.45,1378.27,East,Gupta Enterprises
2023-09-24,Air Fryer,Home,34,4832.79,3458.47,South,Bose Retailers
2023-09-24,Running Shoes,Apparel,16,2473.24,1375.26,Central,Khanna Outlets
2023-09-25,Office Chair,Furniture,9,6308.46,4360.17,South,Reddy Distributors
2023-09-25,Denim Jacket,Apparel,18,1777.14,908.78,West,Reddy Distributors
2023-09-25,Cotton T-Shirt,Apparel,19,459.47,230.83,North,Rao Merchandise
2023-09-26,LED Desk Lamp,Home,28,973.98,493.11,North,Iyer Supplies
2023-09-26,Air Fryer,Home,9,5775.46,3382.22,South,Rao Merchandise
2023-09-26,Premium Pen,Stationery,30,661.49,286.06,Central,Chopra Bazaar
2023-09-27,USB-C Hub,Electronics,24,1581.45,876.33,South,Verma Stores
2023-09-28,Standing Desk,Furniture,25,13611.54,9246.74,East,Mehta Retail
2023-09-28,Cookware Set,Home,60,4125.82,2345.46,North,Reddy Distributors
2023-09-29,Air Fryer,Home,25,5169.13,3478.11,South,Reddy Distributors
2023-09-29,Cotton T-Shirt,Apparel,8,478.71,224.44,South,Mehta Retail
2023-09-30,Water Bottle,Home,23,362.57,140.82,North,Mehta Retail
2023-09-30,Cookware Set,Home,9,4186.7,2341.45,West,Sharma Traders
2023-09-30,Wireless Mouse,Electronics,22,786.34,504.25,East,Malhotra Trading
2023-10-01,Denim Jacket,Apparel,34,1843.7,916.37,West,Patel Mart
2023-10-02,Wireless Mouse,Electronics,34,835.9,490.18,East,Mehta Retail
2023-10-02,Wireless Mouse,Electronics,26,759.35,496.62,East,Bose Retailers
2023-10-02,Premium Pen,Stationery,33,725.31,301.99,East,Reddy Distributors
2023-10-03,Wireless Mouse,Electronics,14,846.19,495.32,Central,Rao Merchandise
2023-10-03,Water Bottle,Home,24,356.17,136.47,North,Malhotra Trading
2023-10-04,LED Desk Lamp,Home,26,956.3,494.48,South,Rao Merchandise
2023-10-04,Cotton T-Shirt,Apparel,9,422.24,222.09,South,Iyer Supplies
2023-10-05,Premium Pen,Stationery,24,736.16,294.92,Central,Verma Stores
2023-10-05,Denim Jacket,Apparel,33,1743.44,958.35,South,Joshi Wholesale
2023-10-06,Water Bottle,Home,18,368.23,143.64,South,Nair Retail Hub
2023-10-06,Cookware Set,Home,10,3792.02,2414.61,East,Agarwal Mart
2023-10-07,Cotton T-Shirt,Apparel,13,528.86,224.86,South,Iyer Supplies
2023-10-07,Office Chair,Furniture,21,5752.78,4524.59,West,Bose Retailers
2023-10-08,Denim Jacket,Apparel,21,1799.58,951.7,North,Malhotra Trading
2023-10-08,Water Bottle,Home,33,336.26,142.48,West,Iyer Supplies
2023-10-08,Running Shoes,Apparel,25,2539.89,1377.77,West,Nair Commerce
2023-10-09,Cotton T-Shirt,Apparel,11,522.47,223.02,South,Das & Sons
2023-10-09,Air Fryer,Home,33,5782.63,3484.85,North,Khanna Outlets
2023-10-09,Cookware Set,Home,31,4173.81,2421.58,South,Singh Sales
2023-10-10,Premium Pen,Stationery,13,694,294.78,South,Reddy Distributors
2023-10-10,Cotton T-Shirt,Apparel,18,497.06,224.68,North,Malhotra Trading
2023-10-10,LED Desk Lamp,Home,12,954.83,493.4,West,Bose Retailers
2023-10-11,USB-C Hub,Electronics,21,1501.08,863.84,East,Khanna Outlets
2023-10-12,Running Shoes,Apparel,12,2555.08,1336.73,West,Malhotra Trading
2023-10-12,Notebook Set,Stationery,25,237.08,93.88,North,Patel Mart
2023-10-13,Cotton T-Shirt,Apparel,10,488.18,228.27,North,Joshi Wholesale
2023-10-13,Bluetooth Speaker,Electronics,14,2311.32,1285.2,East,Patel Mart
2023-10-14,USB-C Hub,Electronics,17,1561.76,876.86,North,Gupta Enterprises
2023-10-14,LED Desk Lamp,Home,10,940.12,503.88,Central,Patel Mart
2023-10-14,Bookshelf,Furniture,32,3569.87,2227.28,East,Kapoor Goods
2023-10-15,Standing Desk,Furniture,16,12323.56,9426.2,West,Verma Stores
2023-10-15,Running Shoes,Apparel,15,2458.82,1342.18,South,Iyer Supplies
2023-10-16,Bluetooth Speaker,Electronics,11,2156.5,1336.78,East,Rao Merchandise
2023-10-16,USB-C Hub,Electronics,21,1427.57,861.05,East,Kapoor Goods
2023-10-16,Bluetooth Speaker,Electronics,23,2086.19,1348.28,East,Gupta Enterprises
2023-10-17,Wireless Mouse,Electronics,16,780.78,483.98,Central,Bose Retailers
2023-10-17,Notebook Set,Stationery,35,240.2,94.82,West,Patel Mart
2023-10-17,Cookware Set,Home,13,4016.92,2383.16,East,Patel Mart
2023-10-18,Bookshelf,Furniture,19,3325.66,2267.87,Central,Rao Merchandise
2023-10-18,Premium Pen,Stationery,11,709.27,295.33,North,Chopra Bazaar
2023-10-19,Cotton T-Shirt,Apparel,27,515.91,220.01,South,Malhotra Trading
2023-10-19,Cookware Set,Home,9,3957.51,2356.49,North,Patel Mart
2023-10-20,LED Desk Lamp,Home,23,875.15,499.85,West,Mehta Retail
2023-10-20,Notebook Set,Stationery,40,235.68,96.33,Central,Bose Retailers
2023-10-21,Bookshelf,Furniture,18,3313.28,2241.97,South,Singh Sales
2023-10-22,Bookshelf,Furniture,22,3644.2,2304.29,West,Patel Mart
2023-10-23,Bluetooth Speaker,Electronics,28,2247.41,1346.5,North,Khanna Outlets
2023-10-23,Premium Pen,Stationery,36,691.08,285.83,East,Das & Sons
2023-10-24,Bluetooth Speaker,Electronics,11,2155.05,1291.91,West,Reddy Distributors
2023-10-24,Cookware Set,Home,20,3505.7,2341.78,South,Chopra Bazaar
2023-10-25,Running Shoes,Apparel,16,2550.79,1382.07,East,Patel Mart
2023-10-25,Standing Desk,Furniture,13,12951.24,9245.84,West,Saxena Stores
2023-10-26,Standing Desk,Furniture,23,12472.15,9411.03,Central,Agarwal Mart
2023-10-26,LED Desk Lamp,Home,11,939.95,507.01,Central,Joshi Wholesale
2023-10-27,LED Desk Lamp,Home,13,965.5,485.06,East,Bose Retailers
2023-10-27,LED Desk Lamp,Home,14,979.92,489.13,South,Malhotra Trading
2023-10-28,Cotton T-Shirt,Apparel,26,488.8,228.62,North,Joshi Wholesale
2023-10-28,Notebook Set,Stationery,23,236.24,94.22,East,Bose Retailers
2023-10-28,Office Chair,Furniture,29,6572.81,4483.19,North,Iyer Supplies
2023-10-29,Wireless Mouse,Electronics,13,758.32,502.17,Central,Patel Mart
2023-10-30,Cotton T-Shirt,Apparel,8,455.17,228,East,Patel Mart
2023-10-30,Wireless Mouse,Electronics,16,783.64,508.21,South,Singh Sales
2023-10-30,Cookware Set,Home,10,3692.04,2451.21,Central,Singh Sales
2023-10-31,Office Chair,Furniture,9,5685.18,4411.98,East,Reddy Distributors
2023-10-31,LED Desk Lamp,Home,16,1048.83,514.24,North,Singh Sales
2023-11-01,USB-C Hub,Electronics,14,1413.25,870.37,South,Agarwal Mart
2023-11-02,Bookshelf,Furniture,24,3400.42,2336,South,Bose Retailers
2023-11-03,Cotton T-Shirt,Apparel,14,511.3,228.22,North,Malhotra Trading
2023-11-03,Denim Jacket,Apparel,24,1700.94,919.6,South,Iyer Supplies
2023-11-04,Running Shoes,Apparel,16,2542.08,1393.4,South,Chopra Bazaar
2023-11-04,Standing Desk,Furniture,11,13044.73,9556.82,West,Gupta Enterprises
2023-11-05,Denim Jacket,Apparel,38,1901.58,909.35,West,Chopra Bazaar
2023-11-05,Bookshelf,Furniture,10,3535.57,2332.09,East,Rao Merchandise
2023-11-06,Cookware Set,Home,39,4168.83,2380.15,East,Rao Merchandise
2023-11-07,LED Desk Lamp,Home,20,972.19,491.77,North,Malhotra Trading
2023-11-08,Bluetooth Speaker,Electronics,21,2252.54,1288.49,West,Chopra Bazaar
2023-11-08,Water Bottle,Home,8,369.88,135.42,Central,Singh Sales
2023-11-09,Bookshelf,Furniture,30,3639.19,2282.75,East,Patel Mart
2023-11-09,Wireless Mouse,Electronics,16,752.61,489.99,Central,Sharma Traders
2023-11-09,USB-C Hub,Electronics,32,1505.53,883.92,North,Khanna Outlets
2023-11-10,Bluetooth Speaker,Electronics,32,2128.57,1327.14,South,Kapoor Goods
2023-11-10,LED Desk Lamp,Home,17,1017,508.03,South,Sharma Traders
2023-11-11,USB-C Hub,Electronics,19,1387.09,857.56,West,Malhotra Trading
2023-11-11,Cotton T-Shirt,Apparel,18,526.27,229.18,South,Das & Sons
2023-11-11,LED Desk Lamp,Home,160,978.6,501.5,West,Singh Sales
2023-11-12,USB-C Hub,Electronics,44,1584.54,854.05,West,Kapoor Goods
2023-11-13,Standing Desk,Furniture,19,12987.46,9412.56,South,Joshi Wholesale
2023-11-13,Denim Jacket,Apparel,24,1763.83,935.51,Central,Iyer Supplies
2023-11-13,Cotton T-Shirt,Apparel,19,513.15,230.06,North,Nair Retail Hub
2023-11-14,USB-C Hub,Electronics,40,1576.87,887.04,Central,Agarwal Mart
2023-11-15,Running Shoes,Apparel,23,2527.97,1408.37,North,Gupta Enterprises
2023-11-15,Running Shoes,Apparel,8,2215.37,1341.79,Central,Joshi Wholesale
2023-11-15,Wireless Mouse,Electronics,28,780.29,481.33,West,Gupta Enterprises
2023-11-16,Denim Jacket,Apparel,20,1892.71,957.21,Central,Patel Mart
2023-11-16,Water Bottle,Home,13,333.51,138.3,Central,Das & Sons
2023-11-16,LED Desk Lamp,Home,26,1012.67,507.15,West,Agarwal Mart
2023-11-17,USB-C Hub,Electronics,34,1390.63,875.5,Central,Kapoor Goods
2023-11-17,Running Shoes,Apparel,21,2464.47,1375.43,North,Nair Retail Hub
2023-11-18,Standing Desk,Furniture,25,13217.45,9164.49,North,Joshi Wholesale
2023-11-18,Cotton T-Shirt,Apparel,13,491.47,226.36,South,Verma Stores
2023-11-18,Bookshelf,Furniture,37,3504.54,2315.5,North,Iyer Supplies
2023-11-19,LED Desk Lamp,Home,22,912.53,489.3,Central,Kapoor Goods
2023-11-20,Office Chair,Furniture,18,6308.79,4359.31,North,Rao Merchandise
2023-11-21,Bluetooth Speaker,Electronics,16,2048.27,1333.15,East,Sharma Traders
2023-11-21,Office Chair,Furniture,80,6809.33,4349.26,Central,Patel Mart
2023-11-22,Denim Jacket,Apparel,31,1877.97,917.63,West,Verma Stores
2023-11-22,Water Bottle,Home,19,333.1,143.17,North,Kapoor Goods
2023-11-22,Cookware Set,Home,12,3565.59,2341.93,East,Iyer Supplies
2023-11-23,Bookshelf,Furniture,12,3516.02,2268.65,South,Nair Commerce
2023-11-23,Bluetooth Speaker,Electronics,34,2186.58,1289.06,North,Bose Retailers
2023-11-24,Cotton T-Shirt,Apparel,20,492.55,224.88,East,Nair Commerce
2023-11-24,Standing Desk,Furniture,30,13306.44,9296.64,Central,Iyer Supplies
2023-11-25,Standing Desk,Furniture,30,11680.55,9246.91,South,Nair Commerce
2023-11-25,Air Fryer,Home,44,5750.62,3568.02,East,Mehta Retail
2023-11-25,LED Desk Lamp,Home,21,1036.2,499.15,Central,Khanna Outlets
2023-11-26,Office Chair,Furniture,28,6331.47,4379.54,East,Gupta Enterprises
2023-11-27,Bluetooth Speaker,Electronics,24,2249.8,1356.74,North,Mehta Retail
2023-11-27,Premium Pen,Stationery,16,675.47,286.01,Central,Iyer Supplies
2023-11-27,Bookshelf,Furniture,20,3532.75,2305,Central,Bose Retailers
2023-11-28,USB-C Hub,Electronics,11,1493.64,876.77,East,Mehta Retail
2023-11-28,Bookshelf,Furniture,29,3458.22,2230.12,Central,Reddy Distributors
2023-11-29,Denim Jacket,Apparel,31,1779.15,914.55,Central,Nair Retail Hub
2023-11-29,Water Bottle,Home,8,369.54,138.84,West,Khanna Outlets
2023-11-29,Denim Jacket,Apparel,35,1734.01,930.23,Central,Bose Retailers
2023-11-30,Premium Pen,Stationery,22,731.81,289.92,South,Verma Stores
2023-11-30,Bookshelf,Furniture,15,3381.02,2333.8,West,Iyer Supplies
2023-11-30,Cookware Set,Home,38,4125.63,2342.17,Central,Agarwal Mart
2023-12-01,Office Chair,Furniture,13,6073.58,4319.98,West,Nair Commerce
2023-12-01,Running Shoes,Apparel,18,2306.5,1371.85,Central,Reddy Distributors
2023-12-01,Cotton T-Shirt,Apparel,5,486.49,227.93,East,Malhotra Trading
2023-12-02,Bluetooth Speaker,Electronics,34,2097.7,1320.9,East,Mehta Retail
2023-12-02,Office Chair,Furniture,19,6195.58,4524.55,North,Malhotra Trading
2023-12-02,Wireless Mouse,Electronics,20,817.31,484.39,South,Reddy Distributors
2023-12-03,USB-C Hub,Electronics,49,1466.32,879.42,North,Sharma Traders
2023-12-03,Office Chair,Furniture,27,6462.4,4544.99,South,Reddy Distributors
2023-12-04,Standing Desk,Furniture,24,11240.75,9156.43,North,Mehta Retail
2023-12-05,Cotton T-Shirt,Apparel,6,496.37,218.12,North,Rao Merchandise
2023-12-05,Premium Pen,Stationery,11,662.96,286.23,South,Agarwal Mart
2023-12-06,Standing Desk,Furniture,10,12813.73,9457.68,East,Verma Stores
2023-12-06,Notebook Set,Stationery,20,229.32,96.36,North,Das & Sons
2023-12-07,Bookshelf,Furniture,11,3359.59,2329.49,Central,Rao Merchandise
2023-12-07,Water Bottle,Home,18,345.02,142.6,Central,Mehta Retail
2023-12-07,Office Chair,Furniture,17,6485.25,4443.59,West,Bose Retailers
2023-12-08,Bluetooth Speaker,Electronics,34,2006.41,1316.13,East,Nair Retail Hub
2023-12-08,LED Desk Lamp,Home,19,1023.32,511.06,Central,Mehta Retail
2023-12-08,Air Fryer,Home,26,5619.56,3370.96,East,Nair Retail Hub
2023-12-09,Cookware Set,Home,37,3882.86,2352.84,Central,Verma Stores
2023-12-10,Notebook Set,Stationery,23,214.28,92.59,South,Chopra Bazaar
2023-12-11,Standing Desk,Furniture,20,11225.69,9442.85,South,Mehta Retail
2023-12-11,Running Shoes,Apparel,11,2318.93,1365.16,Central,Nair Commerce
2023-12-12,Bluetooth Speaker,Electronics,40,2194.13,1294.22,West,Khanna Outlets
2023-12-12,Air Fryer,Home,26,5218.28,3370.63,North,Rao Merchandise
2023-12-12,LED Desk Lamp,Home,32,1042.73,502.91,North,Malhotra Trading
2023-12-13,Wireless Mouse,Electronics,22,748.88,500.3,South,Kapoor Goods
2023-12-14,Bluetooth Speaker,Electronics,32,2285.66,1309.49,West,Chopra Bazaar
2023-12-14,Standing Desk,Furniture,19,13256.15,9255.95,South,Reddy Distributors
2023-12-14,Bluetooth Speaker,Electronics,12,2206.09,1302.59,Central,Saxena Stores
2023-12-15,Denim Jacket,Apparel,78,1824.91,936.43,South,Joshi Wholesale
